"图标名称","文件名","所属模块","使用位置","默认尺寸","交互说明"
"排序","icons/arrow-down-wide-narrow.svg","公共界面","工具栏","20px","显示排序选项"
"排序方向","icons/arrow-up-down.svg","公共界面","排序菜单","18px","调整升降序"
"check","icons/check.svg","公共界面","补充图标","20px","按业务调用"
"下拉操作","icons/chevron-down.svg","公共界面","排序 / 筛选 / 素材位置菜单","20px","展开对应选项；数量文本不带菜单"
"完成","icons/circle-check.svg","公共界面","状态提示","20px","操作完成"
"时间辅助","icons/clock-3.svg","公共界面","其他时间相关界面（可选）","16px","可选时间标识；不用于缩略图时间码"
"复制","icons/copy.svg","公共界面","右键菜单","18px","复制文件名"
"下载","icons/download.svg","公共界面","扩展操作","18px","导出素材"
"更多","icons/ellipsis.svg","公共界面","扩展操作","20px","打开更多菜单"
"文件类型","icons/file.svg","公共界面","列表","16px","通用格式"
"ZIP文件","icons/file-archive.svg","公共界面","打包备选","20px","明确ZIP导出时使用"
"LUT类型","icons/file-sliders.svg","公共界面","列表","16px","静态格式标识"
"视频类型","icons/film.svg","公共界面","列表/可选元数据","16px","静态类型标识；不用于缩略图格式徽标"
"素材位置","icons/folder.svg","公共界面","工具栏右上素材位置","20px","展开位置菜单；设置位置进入路径弹窗"
"选择/打开目录","icons/folder-open.svg","公共界面","路径设置/右键菜单","20px","调用宿主文件夹选择器或打开所在目录"
"新建文件夹","icons/folder-plus.svg","公共界面","素材位置菜单","18px","新建文件夹；提交到宿主接口"
"上传文件夹","icons/folder-up.svg","公共界面","素材位置菜单","18px","上传文件夹；提交到宿主接口"
"筛选","icons/funnel.svg","公共界面","工具栏","20px","显示筛选条件"
"图片类型","icons/image.svg","公共界面","列表/可选元数据","16px","静态类型标识；不用于缩略图格式徽标"
"无缩略图","icons/image-off.svg","公共界面","素材卡片","24px","缺失缩略图状态"
"GIF类型","icons/image-play.svg","公共界面","列表/可选元数据","16px","静态类型标识；不用于缩略图格式徽标"
"卡片模式","icons/layout-grid.svg","公共界面","右侧视图组","20px","卡片模式；与列表和纯净模式互斥"
"列表模式","icons/list.svg","公共界面","右侧视图组","20px","列表模式；禁用缩略图大小控制"
"全屏","icons/maximize.svg","公共界面","播放器","20px","切换播放器全屏"
"音频类型","icons/music-2.svg","公共界面","列表","16px","静态格式标识"
"文件打包","icons/package.svg","公共界面","选择操作区","20px","有选择时显示；仅打包所选素材"
"暂停","icons/pause.svg","公共界面","播放器","20px","暂停播放"
"置顶","icons/pin.svg","公共界面","右键菜单（置顶）","18px","菜单中执行置顶；卡片未置顶不显示图钉，置顶后使用pin-filled"
"置顶（实心）","icons/pin-filled.svg","公共界面","卡片左上角","18px","仅已置顶时显示倾斜30度无底框实心图钉；点击取消；选中+悬停/按下/禁用保留形状"
"播放","icons/play.svg","公共界面","播放器/右键菜单","20px","开始播放"
"纯净模式","icons/rectangle-horizontal.svg","公共界面","右侧视图组","20px","纯净模式；与卡片和列表互斥"
"循环","icons/repeat.svg","公共界面","播放器","20px","循环模式切换"
"缩略图大小","icons/scaling.svg","公共界面","工具栏右侧视图组旁","20px","展开尺寸浮层；列表模式下禁用并保持位置"
"搜索","icons/search.svg","公共界面","工具栏常驻搜索框","20px","输入即时搜索；清空按钮重置查询"
"上一项","icons/skip-back.svg","公共界面","播放器","20px","切换上一素材"
"下一项","icons/skip-forward.svg","公共界面","播放器","20px","切换下一素材"
"未勾选/尺寸端点","icons/square.svg","公共界面","复选框/滑块","20px","用于未选状态；滑块端点12/18px"
"勾选","icons/square-check.svg","公共界面","下排右侧/卡片","20px","表示已选，配合原生checkbox"
"部分勾选","icons/square-minus.svg","公共界面","下排右侧","20px","部分项选中；设置indeterminate"
"收藏","icons/star.svg","公共界面","工具栏 / 缩略图","20px","工具栏切换仅看收藏；缩略图按自身收藏状态显示"
"收藏（实心）","icons/star-filled.svg","公共界面","工具栏/素材卡片","20px","工具栏切换仅看收藏；卡片未收藏描边，已收藏绿色实心"
"移除","icons/trash-2.svg","公共界面","右键菜单","18px","交由业务确认和处理"
"视频","icons/video.svg","公共界面","扩展类型","20px","视频素材类型"
"音量","icons/volume.svg","公共界面","播放器","20px","显示或调整音量"
"静音","icons/volume-x.svg","公共界面","播放器","20px","音量为0或静音"
"关闭/清空","icons/x.svg","公共界面","搜索/弹窗","18px","清除查询或关闭弹窗"
"置顶","icons/pin.svg","通透缩略图","左上（置顶前隐藏）/右键菜单","18px","未置顶时隐藏图钉和暗描边，无隐藏焦点；从右键菜单置顶，原始pin.svg仅供菜单；已置顶才显示绿色实心图钉"
"收藏","icons/star.svg","通透缩略图","右上","18px","未收藏时始终显示无底框描边星标；点击后绿色实心"
"视频格式","icons/film.svg","通透缩略图","列表/可选元数据","16px","静态类型标识；不用于缩略图格式徽标"
"图片格式","icons/image.svg","通透缩略图","列表/可选元数据","16px","静态类型标识；不用于缩略图格式徽标"
"GIF 格式","icons/image-play.svg","通透缩略图","列表/可选元数据","16px","静态类型标识；不用于缩略图格式徽标"
"未选素材","icons/square.svg","通透缩略图","卡片页脚","20px","切换当前素材选择"
"已选素材","icons/square-check.svg","通透缩略图","卡片页脚","20px","独立于收藏和置顶"
"部分勾选","icons/square-minus.svg","通透缩略图","批量选择","20px","设置原生 indeterminate 属性"
"预览不可用","icons/image-off.svg","通透缩略图","缩略图占位","24px","实际加载失败时显示"
"已置顶","icons/pin-filled.svg","通透缩略图","左上","18px","仅已置顶时显示倾斜30度无底框实心图钉；点击取消；选中+悬停/按下/禁用保留形状"
"已收藏","icons/star-filled.svg","通透缩略图","右上","18px","绿色实心；点击取消收藏"
