"图标","文件","大小","含义"
"上一段","../icons/skip-back.svg","20px","切换上一素材"
"播放","../icons/play.svg","20px","开始播放"
"暂停","../icons/pause.svg","20px","暂停播放"
"下一段","../icons/skip-forward.svg","20px","切换下一素材"
"循环当前片段","../icons/repeat.svg","20px","循环模式切换"
"音量","../icons/volume.svg","20px","静音切换；取消静音恢复上次非零音量"
"低音量","../icons/volume-low.svg","20px","音量较低时显示"
"取消静音","../icons/volume-x.svg","20px","取消静音并恢复上次非零音量"
"截取当前帧","../icons/camera.svg","20px","截取当前解码帧；不改变播放时间和速度"
"下拉操作","../icons/chevron-down.svg","20px","打开分辨率或倍速选项"
"重新播放","../icons/rotate-ccw.svg","20px","复用左侧主按钮，播放结束时重播，加载错误时重试"
"播放错误","../icons/circle-alert.svg","20px","加载或解码失败提示"
"载入中","../icons/loader-circle.svg","20px","加载进度未确定时显示"
